,datetime,timestamp,name,symbol,color,size,value,detail_text
46,2024-10-26 15:57:00-04:00,1729972620.0,TRIN,circle,blue,,1.155296617984772,Value: 1.155296617984772
47,2024-10-27 15:57:00-04:00,1730059020.0,TRIN,circle,blue,,1.155296617984772,Value: 1.155296617984772
48,2024-10-28 15:57:00-04:00,1730145420.0,TRIN,circle,blue,,1.4675553787431348,Value: 1.4675553787431348
49,2024-10-29 15:57:00-04:00,1730231820.0,TRIN,circle,blue,,0.6557078808473948,Value: 0.6557078808473948
50,2024-10-30 15:57:00-04:00,1730318220.0,TRIN,circle,blue,,0.8256559634060042,Value: 0.8256559634060042
51,2024-10-31 15:57:00-04:00,1730404620.0,TRIN,circle,blue,,1.17899427763564,Value: 1.17899427763564
52,2024-11-01 15:57:00-04:00,1730491020.0,TRIN,circle,blue,,0.9458594978843163,Value: 0.9458594978843163
53,2024-11-02 15:57:00-04:00,1730577420.0,TRIN,circle,blue,,1.1593423174881807,Value: 1.1593423174881807
54,2024-11-03 15:57:00-05:00,1730667420.0,TRIN,circle,blue,,1.1593423174881807,Value: 1.1593423174881807
55,2024-11-04 15:57:00-05:00,1730753820.0,TRIN,circle,blue,,1.3419070223843041,Value: 1.3419070223843041
56,2024-11-05 15:57:00-05:00,1730840220.0,TRIN,circle,blue,,1.0086574705626334,Value: 1.0086574705626334
57,2024-11-06 15:57:00-05:00,1730926620.0,TRIN,circle,blue,,0.6763294505873265,Value: 0.6763294505873265
58,2024-11-07 15:57:00-05:00,1731013020.0,TRIN,circle,blue,,0.7453941461605171,Value: 0.7453941461605171
59,2024-11-08 15:57:00-05:00,1731099420.0,TRIN,circle,blue,,1.481169886283745,Value: 1.481169886283745
60,2024-11-09 15:57:00-05:00,1731185820.0,TRIN,circle,blue,,1.150550632839848,Value: 1.150550632839848
61,2024-11-10 15:57:00-05:00,1731272220.0,TRIN,circle,blue,,1.150550632839848,Value: 1.150550632839848
62,2024-11-11 15:57:00-05:00,1731358620.0,TRIN,circle,blue,,1.1346942975505403,Value: 1.1346942975505403
63,2024-11-12 15:57:00-05:00,1731445020.0,TRIN,circle,blue,,0.7892947719997334,Value: 0.7892947719997334
64,2024-11-13 15:57:00-05:00,1731531420.0,TRIN,circle,blue,,1.2637819276958722,Value: 1.2637819276958722
65,2024-11-14 15:57:00-05:00,1731617820.0,TRIN,circle,blue,,1.064658123237472,Value: 1.064658123237472
66,2024-11-15 15:57:00-05:00,1731704220.0,TRIN,circle,blue,,0.8142686996767093,Value: 0.8142686996767093
67,2024-11-16 15:57:00-05:00,1731790620.0,TRIN,circle,blue,,0.6054325196914876,Value: 0.6054325196914876
68,2024-11-17 15:57:00-05:00,1731877020.0,TRIN,circle,blue,,0.6054325196914876,Value: 0.6054325196914876
69,2024-11-18 15:57:00-05:00,1731963420.0,TRIN,circle,blue,,1.008579568875668,Value: 1.008579568875668
70,2024-11-19 15:57:00-05:00,1732049820.0,TRIN,circle,blue,,0.44103090943053264,Value: 0.44103090943053264
71,2024-11-20 15:57:00-05:00,1732136220.0,TRIN,circle,blue,,2.0447279210382834,Value: 2.0447279210382834
72,2024-11-22 15:57:00-05:00,1732309020.0,TRIN,circle,blue,,1.4307757003697026,Value: 1.4307757003697026
73,2024-11-23 15:57:00-05:00,1732395420.0,TRIN,circle,blue,,1.541124584447645,Value: 1.541124584447645
74,2024-11-25 15:57:00-05:00,1732568220.0,TRIN,circle,blue,,1.858168975913705,Value: 1.858168975913705
75,2024-11-27 15:57:00-05:00,1732741020.0,TRIN,circle,blue,,2.0640929000005075,Value: 2.0640929000005075
76,2024-11-29 15:57:00-05:00,1732913820.0,TRIN,circle,blue,,0.7666164711890605,Value: 0.7666164711890605
77,2024-11-30 15:57:00-05:00,1733000220.0,TRIN,circle,blue,,0.7681941725379524,Value: 0.7681941725379524
78,2024-12-01 15:57:00-05:00,1733086620.0,TRIN,circle,blue,,0.7681941725379524,Value: 0.7681941725379524
79,2024-12-02 15:57:00-05:00,1733173020.0,TRIN,circle,blue,,0.7008219167305573,Value: 0.7008219167305573
80,2024-12-03 15:57:00-05:00,1733259420.0,TRIN,circle,blue,,0.7464379674208078,Value: 0.7464379674208078
81,2024-12-04 15:57:00-05:00,1733345820.0,TRIN,circle,blue,,0.8022768870930318,Value: 0.8022768870930318
82,2024-12-05 15:57:00-05:00,1733432220.0,TRIN,circle,blue,,0.820287673039597,Value: 0.820287673039597
83,2024-12-06 15:57:00-05:00,1733518620.0,TRIN,circle,blue,,0.7434358705253598,Value: 0.7434358705253598
84,2024-12-07 15:57:00-05:00,1733605020.0,TRIN,circle,blue,,0.823183083109615,Value: 0.823183083109615
85,2024-12-08 15:57:00-05:00,1733691420.0,TRIN,circle,blue,,0.823183083109615,Value: 0.823183083109615
